x,y,z
-0.016998291,-0.01600647,0.04345703
-0.050994873,-0.04800415,0.13049316
-0.084991455,-0.08000183,0.2175293
-0.11898804,-0.11199951,0.30444336
-0.15301514,-0.14399719,0.3914795
-0.1875,-0.17399597,0.4814453
-0.2204895,-0.20649719,0.56152344
-0.25,-0.25549316,0.62597656
-0.27801514,-0.3164978,0.6879883
-0.30599976,-0.37750244,0.75
-0.3340149,-0.43850708,0.8120117
-0.3619995,-0.49949646,0.87402344
-0.39001465,-0.5605011,0.93603516
-0.41900635,-0.62649536,0.9980469
-0.44900513,-0.6974945,1.0600586
-0.4790039,-0.76849365,1.1219482
-0.5090027,-0.8394928,1.18396
-0.54000854,-0.91700745,1.2449951
-0.57199097,-1.0010071,1.3050537
-0.6040039,-1.0850067,1.3649902
-0.6359863,-1.1690063,1.4250488
-0.66799927,-1.253006,1.4849854
-0.7000122,-1.3370056,1.545044
-0.7319946,-1.4210052,1.6049805
-0.7655029,-1.4994965,1.6584473
-0.79849243,-1.5720062,1.7070312
-0.8284912,-1.6464996,1.7509766
-0.8575134,-1.7234955,1.7889404
-0.8865051,-1.8005066,1.8270264
-0.9154968,-1.8775024,1.8649902
-0.9444885,-1.9544983,1.9029541
-0.97351074,-2.0314941,1.94104
-1.0035095,-2.114502,1.9870605
-1.0344849,-2.2035065,2.0410156
-1.0654907,-2.2924957,2.0949707
-1.0964966,-2.3815002,2.1490479
-1.1270142,-2.4685059,2.196045
-1.1570129,-2.5534973,2.235962
-1.1870117,-2.638504,2.276001
-1.2170105,-2.7234955,2.31604
-1.2470093,-2.8085022,2.355957
-1.277008,-2.8934937,2.395996
-1.3070068,-2.9785004,2.4360352
-1.3349915,-3.057495,2.4820557
-1.3609924,-3.1304932,2.5340576
-1.385498,-3.199997,2.5770264
-1.4110107,-3.274002,2.625
-1.4389954,-3.3560028,2.6870117
-1.4670105,-3.4380035,2.7490234
-1.4949951,-3.5200043,2.8110352
-1.5230103,-3.602005,2.8730469
-1.5505066,-3.6815033,2.9360352
-1.5775146,-3.7584991,3.0
-1.6044922,-3.835495,3.0639648
-1.6315002,-3.912506,3.1280518
-1.6585083,-3.989502,3.1920166
-1.6839905,-4.065506,3.2580566
-1.7055054,-4.130493,3.3205566
-1.7254944,-4.190506,3.3804932
-1.7474976,-4.255005,3.4589844
-1.7705078,-4.3190002,3.5529785
-1.7915039,-4.378006,3.6414795
-1.8104858,-4.4319916,3.7244873
-1.8294983,-4.4859924,3.807495
-1.8485107,-4.5399933,3.890503
-1.8674927,-4.593994,3.9735107
-1.8865051,-4.647995,4.0565186
-1.8940125,-4.689499,4.137451
-1.8900146,-4.718506,4.2165527
-1.8859863,-4.7474976,4.295532
-1.8819885,-4.7765045,4.3745117
-1.8779907,-4.805496,4.453491
-1.8825073,-4.8235016,4.5300293
-1.8955078,-4.8305054,4.604004
-1.9085083,-4.837494,4.6779785
-1.9215088,-4.8444977,4.751953
-1.9345093,-4.8515015,4.82605
-1.9475098,-4.8585052,4.9000244
-1.9630127,-4.8735046,4.9885254
-1.9809875,-4.8964996,5.0915527
-1.9989929,-4.9194946,5.194458
-2.0169983,-4.942505,5.2974854
-2.0350037,-4.9655,5.4005127
-2.0524902,-4.982498,5.50354
-2.0694885,-4.9934998,5.6064453
-2.0864868,-5.0045013,5.7094727
-2.103485,-5.015503,5.8125
-2.120514,-5.0265045,5.9155273
-2.1384888,-5.036499,6.0185547
-2.1524963,-5.046997,6.11145
-2.161499,-5.0590057,6.194458
-2.1705017,-5.070999,6.277466
-2.1795044,-5.0829926,6.3604736
-2.188507,-5.095001,6.4434814
-2.2000122,-5.0919952,6.5269775
-2.2139893,-5.074005,6.610962
-2.2304993,-5.0505066,6.7139893
-2.2495117,-5.0214996,6.8359375
-2.2684937,-4.9924927,6.958008
-2.285492,-4.962494,7.0699463
-2.3005066,-4.9315033,7.171997
-2.3154907,-4.9004974,7.274048
-2.3305054,-4.8694916,7.3759766
-2.3370056,-4.8419952,7.470459
-2.3349915,-4.817993,7.557495
-2.3330078,-4.7940063,7.6445312
-2.3309937,-4.7700043,7.7314453
-2.3299866,-4.734497,7.817505
-2.3299866,-4.6875,7.902466
-2.3299866,-4.640503,7.987549
-2.3299866,-4.593506,8.07251
-2.3255005,-4.5330048,8.147949
-2.3160095,-4.4640045,8.211548
-2.2994995,-4.3945007,8.276001
-2.2810059,-4.317993,8.340942
-2.2669983,-4.2400055,8.402954
-2.2529907,-4.1620026,8.464966
-2.2390137,-4.0839996,8.526978
-2.225006,-4.0059967,8.588989
-2.2109985,-3.9279938,8.651001
-2.1965027,-3.8379974,8.711548
-2.181488,-3.7359924,8.770508
-2.166504,-3.6340027,8.829468
-2.1514893,-3.5319977,8.88855
-2.1365051,-3.4299927,8.94751
-2.120514,-3.337494,9.005981
-2.1015015,-3.2559967,9.057007
-2.0820007,-3.1694946,9.093506
-2.0639954,-3.0764923,9.122559
-2.04599,-2.9835052,9.151489
-2.0280151,-2.890503,9.180542
-2.0075073,-2.7949982,9.209473
-1.9844971,-2.696991,9.238525
-1.9614868,-2.598999,9.267456
-1.9385071,-2.5009918,9.296509
-1.9100037,-2.4080048,9.321533
-1.8760071,-2.319992,9.342529
-1.8420105,-2.2319946,9.363525
-1.8080139,-2.1439972,9.3845215
-1.7739868,-2.0559998,9.405518
-1.7434998,-1.9595032,9.422974
-1.7164917,-1.8544922,9.437012
-1.6895142,-1.7494965,9.45105
-1.6625061,-1.6445007,9.464966
-1.6359863,-1.548996,9.467529
-1.6099854,-1.4629974,9.458496
-1.5840149,-1.3769989,9.449463
-1.5580139,-1.2910004,9.440552
-1.526001,-1.2079926,9.430542
-1.4880066,-1.128006,9.419556
-1.4500122,-1.0480042,9.408447
-1.4119873,-0.9680023,9.397461
-1.3739929,-0.8880005,9.386475
-1.3370056,-0.80599976,9.369507
-1.3009949,-0.7220001,9.346558
-1.2650146,-0.6380005,9.323486
-1.2290039,-0.55400085,9.300537
-1.1954956,-0.45899963,9.264526
-1.1644897,-0.35299683,9.215454
-1.1335144,-0.24699402,9.166504
-1.1025085,-0.14099121,9.117554
-1.0715027,-0.035003662,9.068481
-1.0375061,0.06199646,9.0164795
-1.0004883,0.1499939,8.961548
-0.963501,0.23800659,8.906494
-0.9265137,0.32600403,8.8515625
-0.88949585,0.41149902,8.796509
-0.85250854,0.49450684,8.741455
-0.8154907,0.5774994,8.686523
-0.7785034,0.6605072,8.63147
-0.7414856,0.74349976,8.576538
-0.7034912,0.8220062,8.521484
-0.66448975,0.8959961,8.466553
-0.6254883,0.9700012,8.411499
-0.5864868,1.0440063,8.356445
-0.54748535,1.1179962,8.301514
-0.5090027,1.1855011,8.244019
-0.4710083,1.2465057,8.18396
-0.43301392,1.3074951,8.124023
-0.394989,1.3684998,8.063965
-0.35699463,1.4295044,8.004028
-0.31799316,1.4819946,7.9375
-0.27801514,1.526001,7.864502
-0.23800659,1.5700073,7.791504
-0.19799805,1.6139984,7.718506
-0.1579895,1.6580048,7.645508
-0.12149048,1.7124939,7.5460205
-0.08850098,1.7774963,7.420044
-0.055511475,1.8424988,7.2939453
-0.022491455,1.9075012,7.1679688
0.010498047,1.9725037,7.041992
0.04348755,2.0245056,6.9415283
0.07650757,2.063507,6.866455
0.10949707,2.1025085,6.791504
0.14248657,2.1414948,6.7165527
0.17550659,2.1804962,6.6414795
0.2090149,2.216507,6.550049
0.24301147,2.2494965,6.4420166
0.27700806,2.2825012,6.3339844
0.31100464,2.315506,6.225952
0.34500122,2.3484955,6.118042
0.3789978,2.3815002,6.01001
0.41101074,2.423996,5.9160156
0.44100952,2.475998,5.8360596
0.4710083,2.5279999,5.7559814
0.5010071,2.5800018,5.6760254
0.53149414,2.6240082,5.587036
0.5625,2.6600037,5.4890137
0.59350586,2.6959991,5.390991
0.6245117,2.7319946,5.2929688
0.65548706,2.7680054,5.1949463
0.6864929,2.8040009,5.097046
0.71551514,2.8399963,5.001953
0.7424927,2.876007,4.910034
0.76950073,2.9120026,4.817993
0.7965088,2.947998,4.725952
0.82250977,2.9795074,4.633545
0.84750366,3.0065002,4.5405273
0.87249756,3.0335083,4.44751
0.89749146,3.060501,4.354492
0.92248535,3.087494,4.2614746
0.94750977,3.114502,4.168457
0.97351074,3.1365051,4.06604
1.0004883,3.1535034,3.9539795
1.0274963,3.1705017,3.842041
1.0545044,3.1875,3.7299805
1.0815125,3.2015076,3.6269531
1.10849,3.2125092,3.532959
1.135498,3.2234955,3.4389648
1.1625061,3.234497,3.3449707
1.1895142,3.2454987,3.2509766
1.2164917,3.2565002,3.1569824
1.243988,3.260498,3.0579834
1.2720032,3.2575073,2.9539795
1.2999878,3.2545013,2.8499756
1.3280029,3.2514954,2.7459717
1.355011,3.251999,2.6469727
1.381012,3.2559967,2.5529785
1.4070129,3.2600098,2.4589844
1.4330139,3.2640076,2.3649902
1.4590149,3.2680054,2.270996
1.4849854,3.2720032,2.177002
1.5109863,3.276001,2.0830078
1.536499,3.2620087,1.989502
1.5614929,3.230011,1.8964844
1.5864868,3.197998,1.8034668
1.6115112,3.1660004,1.7104492
1.6350098,3.1725006,1.6114502
1.6570129,3.2174988,1.5064697
1.6789856,3.262497,1.4014893
1.7009888,3.3075104,1.2965088
1.722992,3.3525085,1.1915283
1.7449951,3.3975067,1.0865479
1.7669983,3.442505,0.9814453
1.7879944,3.4434967,0.875
1.8080139,3.4004974,0.7669678
1.8280029,3.3574982,0.6590576
1.847992,3.314499,0.5510254
1.8695068,3.2779999,0.44750977
1.8924866,3.248001,0.34851074
1.9154968,3.2180023,0.24951172
1.9385071,3.1880035,0.1505127
1.9614868,3.1580048,0.051513672
1.9844971,3.1295013,-0.040527344
2.0075073,3.1025085,-0.12548828
2.030487,3.0755005,-0.21044922
2.0534973,3.0485077,-0.29553223
2.0765076,3.0214996,-0.38049316
2.1010132,2.9869995,-0.47045898
2.1270142,2.9450073,-0.56555176
2.1530151,2.9029999,-0.66052246
2.1789856,2.8610077,-0.75549316
2.2049866,2.8190002,-0.85046387
2.2349854,2.7799988,-0.9494629
2.2690125,2.7440033,-1.0524902
2.303009,2.7080078,-1.1555176
2.3370056,2.671997,-1.2585449
2.3710022,2.6360016,-1.3614502
2.4049988,2.600006,-1.4644775
2.438507,2.5534973,-1.5610352
2.4714966,2.4965057,-1.651001
2.504486,2.439499,-1.7409668
2.537506,2.3825073,-1.8310547
2.5694885,2.3300018,-1.8955078
2.6004944,2.2819977,-1.9344482
2.6315002,2.2340088,-1.9735107
2.662506,2.1860046,-2.0124512
2.693512,2.1380005,-2.0515137
2.729004,2.0814972,-2.1030273
2.7690125,2.01651,-2.1669922
2.8089905,1.9515076,-2.230957
2.848999,1.8865051,-2.295044
2.8880005,1.8204956,-2.3554688
2.9259949,1.7535095,-2.4124756
2.9639893,1.6865082,-2.4694824
3.0020142,1.6195068,-2.5264893
3.0400085,1.5525055,-2.583496
3.078003,1.4855042,-2.640503
3.1159973,1.4185028,-2.6975098
3.155487,1.338501,-2.7525635
3.1965027,1.2454987,-2.805542
3.2374878,1.1524963,-2.8585205
3.2785034,1.0595093,-2.911499
3.3160095,0.97550964,-2.9659424
3.350006,0.90049744,-3.0219727
3.3840027,0.8255005,-3.078003
3.4179993,0.75050354,-3.1340332
3.4519958,0.6755066,-3.1899414
3.4859924,0.60050964,-3.2459717
3.5230103,0.526001,-3.3024902
3.5629883,0.4520111,-3.359497
3.6029968,0.37800598,-3.416504
3.6430054,0.30400085,-3.4735107
3.683014,0.23001099,-3.5305176
3.7225037,0.15400696,-3.583496
3.7615051,0.07600403,-3.6324463
3.8005066,-0.0019989014,-3.6815186
3.839508,-0.08000183,-3.7304688
3.8785095,-0.1579895,-3.779541
3.917511,-0.23599243,-3.8284912
3.9549866,-0.31349182,-3.8764648
