x,y,z,color
0.002258301,-1.07E-04,0.0078125,#6B8E23'
0.006744385,-3.05E-04,0.02355957,#6B8E23'
0.011260986,-5.04E-04,0.03930664,#6B8E23'
0.01574707,-7.02E-04,0.05493164,#6B8E23'
0.018859863,-0.001693726,0.06713867,#6B8E23'
0.02053833,-0.003494263,0.075683594,#6B8E23'
0.022247314,-0.0052948,0.084350586,#6B8E23'
0.023956299,-0.007095337,0.09289551,#6B8E23'
0.025634766,-0.008895874,0.10144043,#6B8E23'
0.02734375,-0.010696411,0.11010742,#6B8E23'
0.02835083,-0.012802124,0.1171875,#6B8E23'
0.028656006,-0.015197754,0.122680664,#6B8E23'
0.027954102,-0.0184021,0.12805176,#6B8E23'
0.026245117,-0.022399902,0.13317871,#6B8E23'
0.02279663,-0.027252197,0.13830566,#6B8E23'
0.017608643,-0.032943726,0.14318848,#6B8E23'
0.012390137,-0.038650513,0.14807129,#6B8E23'
0.007202148,-0.0443573,0.1529541,#6B8E23'
0.00201416,-0.050048828,0.15783691,#6B8E23'
-0.003204346,-0.055755615,0.16271973,#6B8E23'
-0.008392334,-0.061447144,0.16760254,#6B8E23'
-0.016052246,-0.06695557,0.17370605,#6B8E23'
-0.026153564,-0.072250366,0.1809082,#6B8E23'
-0.036254883,-0.077545166,0.18811035,#6B8E23'
-0.0463562,-0.082855225,0.1953125,#6B8E23'
-0.05633545,-0.0874939,0.20605469,#6B8E23'
-0.06625366,-0.09150696,0.22033691,#6B8E23'
-0.07614136,-0.09550476,0.23461914,#6B8E23'
-0.08605957,-0.09950256,0.24890137,#6B8E23'
-0.095947266,-0.103500366,0.26330566,#6B8E23'
-0.10583496,-0.10749817,0.2775879,#6B8E23'
-0.11645508,-0.110946655,0.2919922,#6B8E23'
-0.12774658,-0.113845825,0.3067627,#6B8E23'
-0.13903809,-0.116744995,0.32141113,#6B8E23'
-0.1503601,-0.119644165,0.33618164,#6B8E23'
-0.16165161,-0.122543335,0.35083008,#6B8E23'
-0.17404175,-0.12519836,0.3647461,#6B8E23'
-0.18756104,-0.127594,0.37805176,#6B8E23'
-0.2010498,-0.13000488,0.39123535,#6B8E23'
-0.21466064,-0.13209534,0.40478516,#6B8E23'
-0.22836304,-0.13389587,0.41882324,#6B8E23'
-0.24203491,-0.13569641,0.43273926,#6B8E23'
-0.2557373,-0.13749695,0.44677734,#6B8E23'
-0.26901245,-0.13909912,0.45996094,#6B8E23'
-0.28179932,-0.14050293,0.4720459,#6B8E23'
-0.2937622,-0.14149475,0.4819336,#6B8E23'
-0.3048401,-0.1421051,0.4892578,#6B8E23'
-0.3159485,-0.1427002,0.4967041,#6B8E23'
-0.32705688,-0.14329529,0.5041504,#6B8E23'
-0.33813477,-0.14390564,0.5114746,#6B8E23'
-0.3467102,-0.14445496,0.5185547,#6B8E23'
-0.35269165,-0.14494324,0.5253906,#6B8E23'
-0.3587036,-0.14544678,0.53222656,#6B8E23'
-0.36468506,-0.14595032,0.5389404,#6B8E23'
-0.37069702,-0.14645386,0.54577637,#6B8E23'
-0.37670898,-0.14720154,0.55163574,#6B8E23'
-0.38269043,-0.14819336,0.5563965,#6B8E23'
-0.3887024,-0.14920044,0.5611572,#6B8E23'
-0.39471436,-0.15020752,0.56604004,#6B8E23'
-0.39996338,-0.15344238,0.5710449,#6B8E23'
-0.40444946,-0.1589508,0.5761719,#6B8E23'
-0.40893555,-0.16444397,0.5814209,#6B8E23'
